id,title,description,content,source,publishedAt,URL,imgURL,category
4,‘Vanderpump Rules’ Renewed For Season 12 By Bravo With All-New Cast - Deadline,"Bravo has renewed Vanderpump Rules for a 12th season, which will return with an all-new cast.","Bravo has renewed Vanderpump Rules for a 12th season, which will return with an all-new cast.
The network revealed today that season 12 will feature Lisa Vanderpump and a new group of “close-knit SU… [+1673 chars]",Deadline,2024-11-26 16:51:00,http://deadline.com/2024/11/vanderpump-rules-renewed-season-12-bravo-new-cast-1236187839/,https://deadline.com/wp-content/uploads/2024/04/vanderpump-rules.jpg?w=1024,E-Sports
6,Thank Goodness the ‘Holding Space’ Interviewer Doesn’t Get the Joke - Vulture,"Tracy E. Gilchrist, better known as the ‘holding space’ interviewer, doesn’t really get the joke and she doesn’t intend to make merch. These days, that’s a win for the culture.","On the ever-curdling internet, where misinformation reigns supreme and the general vibe is tragic, its important to enjoy things while you still can. Because, usually, the enjoyable gets annoying too… [+1670 chars]",Vulture,2024-11-26 16:23:23,http://www.vulture.com/article/wicked-holding-space-interview-journalist.html,https://pyxis.nymag.com/v1/imgs/9d2/065/c6776f3619f3866987a55af9a7a952d436-holdingspace.1x.rsocial.w1200.png,Entertainment
8,"Losing Weight With Ozempic Might Also Lighten Your Bar Tab, Study Finds - Gizmodo","A study of 14,000 WeightWatchers participants is the latest to suggest that Ozempic and similar obesity drugs could be adapted into treatments for substance use disorders.",Losing weight with Ozempic and similar drugs might have another unexpected benefit: a lighter bar tab. New research published today has found evidence that people taking these drugs often cut down th… [+5252 chars],Gizmodo.com,2024-11-26 16:00:57,https://gizmodo.com/losing-weight-with-ozempic-might-also-lighten-your-bar-tab-study-finds-2000530051,https://gizmodo.com/app/uploads/2024/11/GettyImages-124337728.jpg,Lifestyle
85,Apple says it uses Amazon's custom AI chips - CNBC,Apple is currently using Amazon Web Services' custom AI chips for services like searching and will evaluate if its latest AI chip can be used to pre-train its AI models like Apple Intelligence.,Apple is currently using Amazon Web Services' custom artificial intelligence chips for services like search and will evaluate if the company's latest AI chip can be used to pretrain its models like A… [+3175 chars],CNBC,2024-12-03 18:38:40,https://www.cnbc.com/2024/12/03/apple-says-it-uses-amazons-custom-ai-chips-.html,https://image.cnbcfm.com/api/v1/image/107344528-1701979654141-107344528-1701960145166-Jassy3.jpg?v=1701979662&w=1920&h=1080,Technology
99,‘Moana 2’ Moola Now At $400M+ Worldwide – Box Office - Deadline,"The global running cume for ''Moana 2'' stands at $400M+ through Dec. 3, 2024.","After six days of release worldwide, Disney’s record-breaking Moana 2stands at $404.5M, passing this year’s Kingdom of the Planet of the Apes ($397.4M) and Bad Boys: Ride or Die ($404.5M), already th… [+1387 chars]",Deadline,2024-12-03 17:44:00,http://deadline.com/2024/12/moana-2-worldwide-box-office-monday-1236192699/,https://deadline.com/wp-content/uploads/2024/12/MOANA2-ONLINE-USE-mono_fullcomp.0082_4K.jpeg?w=1024,Entertainment
11,The Only Known Natural Nuclear Reactor On Earth Is 2 Billion Years Old - IFLScience,"Long before humans had a go, nature created a nuclear reactor in Oklo, Gabon.","Long before humans began creating nuclear reactors to fulfill our ridiculous energy needs, back when the Earth was dominated by microbes, in fact, nature beat us to it and built the first nuclear rea… [+2555 chars]",IFLScience,2024-11-26 14:50:51,https://www.iflscience.com/the-only-known-natural-nuclear-reactor-on-earth-is-2-billion-years-old-76940,https://assets.iflscience.com/assets/articleNo/76940/aImg/80455/abandoned-uranium-mine-meta.png,Environment
1,SMCI Rally Fizzles. AI Stock Slides Again Ending Strong Run. - Investor's Business Daily,SMCI stock fell again Tuesday ending a strong rally that appeared to signal that the data center tech company was bouncing back.,"Shares of Super Micro Computer slipped again Tuesday ending a rally that appeared to signal a recovery from recent setbacks. SMCI stock rose sharply Monday extending a strong run for last week, but t… [+3145 chars]",Investor's Business Daily,2024-11-26 17:26:00,https://www.investors.com/news/technology/smci-stock-supermicro-super-micro-computer-rally/,https://www.investors.com/wp-content/uploads/2024/06/Stock-SuperMicroComputer-servers-01-company.jpg,Business
25,"The Best 50+ Black Friday Apple Deals on AirPods, iPads, MacBooks, and More - MacRumors","Black Friday 2024 is here, and as always this is the best time of the year to shop for great deals on just about everything. Right now, this includes...","Black Friday 2024 is here, and as always this is the best time of the year to shop for great deals on just about everything. Right now, this includes big savings on popular Apple products like AirPod… [+6038 chars]",MacRumors,2024-11-28 21:01:41,https://www.macrumors.com/2024/11/28/best-apple-black-friday-deals-2024/,https://images.macrumors.com/t/TBAx5R8KQFtW9IU90pmni1KwqgI=/2500x/article-new/2024/11/General-Black-Friday-Deals-24-Blue-Snowmen.jpg,Business
150,OpenAI’s 12 days of ‘shipmas’ include Sora and new reasoning model - The Verge,OpenAI is about to launch 12 days of AI announcements. Sources tell The Verge the announcements will include Sora and a new reasoning model.,"OpenAIs 12 days of shipmas include Sora and new reasoning model
OpenAIs 12 days of shipmas include Sora and new reasoning model
 / OpenAI is getting ready for a busy, festive period of AI announcem… [+1993 chars]",The Verge,2024-12-04 15:08:42,https://www.theverge.com/2024/12/4/24312352/openai-sora-o1-reasoning-12-days-shipmas,https://cdn.vox-cdn.com/thumbor/ZeFqdOYThd7HY8SESgL187x7Cts=/0x0:2040x1360/1200x628/filters:focal(1020x680:1021x681)/cdn.vox-cdn.com/uploads/chorus_asset/file/25636776/VST_0924_Site.jpg,Business
9,Alzheimer’s Drug Shrinks Brain Volume by Removing Amyloid Plaques - Neuroscience News,"Brain volume loss linked to new Alzheimer’s immunotherapies, such as lecanemab, is caused by the removal of amyloid plaques rather than neuronal damage.","Summary: Brain volume loss linked to new Alzheimers immunotherapies, such as lecanemab, is caused by the removal of amyloid plaques rather than neuronal damage. Researchers analyzed data from multipl… [+4018 chars]",Neurosciencenews.com,2024-11-26 15:18:46,https://neurosciencenews.com/alzheimers-drug-brain-shrikage-28137/,https://neurosciencenews.com/files/2024/11/alzheimer-brain-shrinkage-drug-neuroscience.jpg,E-Sports
