id,user_id,article_id,read_at
8,2,14,2024-12-03 18:29:54.788401
9,2,11,2024-12-03 18:46:43.796667
10,2,50,2024-12-03 19:45:38.897122
11,2,37,2024-12-03 19:58:15.646348
12,2,37,2024-12-03 19:58:16.195948
13,2,54,2024-12-03 20:11:32.581762
14,2,53,2024-12-03 23:28:47.096815
15,2,0,2024-12-04 01:27:35.397101
16,11,4,2024-12-04 01:55:24.127345
17,11,3,2024-12-04 02:00:29.846259
18,2,47,2024-12-04 11:59:32.215501
19,2,14,2024-12-04 12:00:38.75876
20,15,38,2024-12-05 03:31:15.443515
21,15,76,2024-12-05 03:32:54.530876
22,15,49,2024-12-05 03:35:30.449009
23,2,19,2024-12-05 03:37:01.680069
24,2,26,2024-12-05 03:38:08.263225
25,2,113,2024-12-05 03:39:13.19247
26,2,25,2024-12-05 03:41:35.06452
27,2,1,2024-12-05 03:41:56.370132
28,17,74,2024-12-05 12:35:24.089779
30,13,118,2024-12-05 21:40:28.523672
31,13,29,2024-12-05 21:40:40.149105
32,2,150,2024-12-05 21:42:55.617458
